,title,artist,id,duration,popularity,features,timestamp,created_at
49,'OK Not To Be OK','Marshmello',0zzVTGyRrWpQu8Fr28NRAv,159862,75,"{""danceability"": 0.743, ""energy"": 0.837, ""key"": 1, ""loudness"": -5.025, ""mode"": 0, ""speechiness"": 0.0649, ""acousticness"": 0.0172, ""instrumentalness"": 0, ""liveness"": 0.0743, ""valence"": 0.263, ""tempo"": 103.072, ""type"": ""audio_features"", ""id"": ""0zzVTGyRrWpQu8Fr28NRAv"", ""uri"": ""spotify:track:0zzVTGyRrWpQu8Fr28NRAv"", ""track_href"": ""https://api.spotify.com/v1/tracks/0zzVTGyRrWpQu8Fr28NRAv"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/0zzVTGyRrWpQu8Fr28NRAv"", ""duration_ms"": 159863, ""time_signature"": 4}",1663362249.514,1663418931.736043
48,'Beautiful Mistakes (feat. Megan Thee Stallion)','Maroon 5',5zFglKYiknIxks8geR8rcL,227395,82,"{""danceability"": 0.713, ""energy"": 0.676, ""key"": 10, ""loudness"": -5.483, ""mode"": 1, ""speechiness"": 0.027, ""acousticness"": 0.0377, ""instrumentalness"": 0, ""liveness"": 0.154, ""valence"": 0.721, ""tempo"": 99.048, ""type"": ""audio_features"", ""id"": ""5zFglKYiknIxks8geR8rcL"", ""uri"": ""spotify:track:5zFglKYiknIxks8geR8rcL"", ""track_href"": ""https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5zFglKYiknIxks8geR8rcL"", ""duration_ms"": 227395, ""time_signature"": 4}",1663363174.326,1663418931.42414
47,'Back To You - From 13 Reasons Why – Season 2 Soundtrack','Selena Gomez',4hQ6UGyWQIGJmHSo0J88JW,207904,73,"{""danceability"": 0.601, ""energy"": 0.724, ""key"": 6, ""loudness"": -4.856, ""mode"": 1, ""speechiness"": 0.0486, ""acousticness"": 0.0945, ""instrumentalness"": 1.68e-06, ""liveness"": 0.12, ""valence"": 0.508, ""tempo"": 102.061, ""type"": ""audio_features"", ""id"": ""4hQ6UGyWQIGJmHSo0J88JW"", ""uri"": ""spotify:track:4hQ6UGyWQIGJmHSo0J88JW"", ""track_href"": ""https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW"", ""duration_ms"": 207905, ""time_signature"": 4}",1663364260.756,1663418931.121365
46,'Mama','Jonas Blue',7jEyX4bqaCSdMN4D4JNnVj,184133,74,"{""danceability"": 0.738, ""energy"": 0.794, ""key"": 11, ""loudness"": -4.118, ""mode"": 0, ""speechiness"": 0.0416, ""acousticness"": 0.101, ""instrumentalness"": 0, ""liveness"": 0.0533, ""valence"": 0.566, ""tempo"": 104.014, ""type"": ""audio_features"", ""id"": ""7jEyX4bqaCSdMN4D4JNnVj"", ""uri"": ""spotify:track:7jEyX4bqaCSdMN4D4JNnVj"", ""track_href"": ""https://api.spotify.com/v1/tracks/7jEyX4bqaCSdMN4D4JNnVj"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7jEyX4bqaCSdMN4D4JNnVj"", ""duration_ms"": 184134, ""time_signature"": 4}",1663364445.533,1663418930.814979
45,'Kings & Queens','Ava Max',7a53HqqArd4b9NF4XAmlbI,162398,81,"{""danceability"": 0.637, ""energy"": 0.69, ""key"": 1, ""loudness"": -4.057, ""mode"": 0, ""speechiness"": 0.0405, ""acousticness"": 0.00786, ""instrumentalness"": 0, ""liveness"": 0.124, ""valence"": 0.457, ""tempo"": 129.857, ""type"": ""audio_features"", ""id"": ""7a53HqqArd4b9NF4XAmlbI"", ""uri"": ""spotify:track:7a53HqqArd4b9NF4XAmlbI"", ""track_href"": ""https://api.spotify.com/v1/tracks/7a53HqqArd4b9NF4XAmlbI"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7a53HqqArd4b9NF4XAmlbI"", ""duration_ms"": 162399, ""time_signature"": 4}",1663364474.744,1663418930.505525
44,'Memories','Maroon 5',4cktbXiXOapiLBMprHFErI,189486,85,"{""danceability"": 0.775, ""energy"": 0.327, ""key"": 11, ""loudness"": -7.241, ""mode"": 1, ""speechiness"": 0.0557, ""acousticness"": 0.841, ""instrumentalness"": 0, ""liveness"": 0.0821, ""valence"": 0.595, ""tempo"": 91.05, ""type"": ""audio_features"", ""id"": ""4cktbXiXOapiLBMprHFErI"", ""uri"": ""spotify:track:4cktbXiXOapiLBMprHFErI"", ""track_href"": ""https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI"", ""duration_ms"": 189486, ""time_signature"": 4}",1663379934.363,1663418930.208647
43,'Before You Go','Lewis Capaldi',7ce20yLkzuXXLUhzIDoZih,215106,74,"{""danceability"": 0.459, ""energy"": 0.575, ""key"": 3, ""loudness"": -4.858, ""mode"": 1, ""speechiness"": 0.0573, ""acousticness"": 0.604, ""instrumentalness"": 0, ""liveness"": 0.0885, ""valence"": 0.183, ""tempo"": 111.881, ""type"": ""audio_features"", ""id"": ""7ce20yLkzuXXLUhzIDoZih"", ""uri"": ""spotify:track:7ce20yLkzuXXLUhzIDoZih"", ""track_href"": ""https://api.spotify.com/v1/tracks/7ce20yLkzuXXLUhzIDoZih"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7ce20yLkzuXXLUhzIDoZih"", ""duration_ms"": 215107, ""time_signature"": 4}",1663380150.247,1663418929.896686
42,'Lover','Taylor Swift',1dGr1c8CrMLDpV6mPbImSI,221306,84,"{""danceability"": 0.359, ""energy"": 0.543, ""key"": 7, ""loudness"": -7.582, ""mode"": 1, ""speechiness"": 0.0919, ""acousticness"": 0.492, ""instrumentalness"": 1.58e-05, ""liveness"": 0.118, ""valence"": 0.453, ""tempo"": 68.534, ""type"": ""audio_features"", ""id"": ""1dGr1c8CrMLDpV6mPbImSI"", ""uri"": ""spotify:track:1dGr1c8CrMLDpV6mPbImSI"", ""track_href"": ""https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI"", ""duration_ms"": 221307, ""time_signature"": 4}",1663380372.539,1663418929.590154
41,'Heather','Conan Gray',4xqrdfXkTW4T0RauPLv3WA,198040,86,"{""danceability"": 0.357, ""energy"": 0.425, ""key"": 5, ""loudness"": -7.301, ""mode"": 1, ""speechiness"": 0.0333, ""acousticness"": 0.584, ""instrumentalness"": 0, ""liveness"": 0.322, ""valence"": 0.27, ""tempo"": 102.078, ""type"": ""audio_features"", ""id"": ""4xqrdfXkTW4T0RauPLv3WA"", ""uri"": ""spotify:track:4xqrdfXkTW4T0RauPLv3WA"", ""track_href"": ""https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA"", ""duration_ms"": 198040, ""time_signature"": 3}",1663380571.14,1663418929.282132
40,'What Am I','Why Don't We',1HimGOB6BjOaCQYMIF1xtU,184665,66,"{""danceability"": 0.614, ""energy"": 0.647, ""key"": 0, ""loudness"": -4.681, ""mode"": 0, ""speechiness"": 0.0524, ""acousticness"": 0.0687, ""instrumentalness"": 0, ""liveness"": 0.104, ""valence"": 0.368, ""tempo"": 163.862, ""type"": ""audio_features"", ""id"": ""1HimGOB6BjOaCQYMIF1xtU"", ""uri"": ""spotify:track:1HimGOB6BjOaCQYMIF1xtU"", ""track_href"": ""https://api.spotify.com/v1/tracks/1HimGOB6BjOaCQYMIF1xtU"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1HimGOB6BjOaCQYMIF1xtU"", ""duration_ms"": 184665, ""time_signature"": 4}",1663380755.596,1663418928.974525
39,'Falling Like The Stars','James Arthur',15xWRPHQMeqgdkGzInx3PY,212720,70,"{""danceability"": 0.296, ""energy"": 0.351, ""key"": 6, ""loudness"": -9.538, ""mode"": 1, ""speechiness"": 0.0352, ""acousticness"": 0.823, ""instrumentalness"": 1.45e-06, ""liveness"": 0.11, ""valence"": 0.19, ""tempo"": 177.06, ""type"": ""audio_features"", ""id"": ""15xWRPHQMeqgdkGzInx3PY"", ""uri"": ""spotify:track:15xWRPHQMeqgdkGzInx3PY"", ""track_href"": ""https://api.spotify.com/v1/tracks/15xWRPHQMeqgdkGzInx3PY"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/15xWRPHQMeqgdkGzInx3PY"", ""duration_ms"": 212720, ""time_signature"": 3}",1663380968.854,1663418928.671713
38,'If the World Was Ending (feat. Julia Michaels)','JP Saxe',2kJwzbxV2ppxnQoYw4GLBZ,208687,78,"{""danceability"": 0.464, ""energy"": 0.473, ""key"": 1, ""loudness"": -10.086, ""mode"": 1, ""speechiness"": 0.129, ""acousticness"": 0.866, ""instrumentalness"": 0, ""liveness"": 0.109, ""valence"": 0.604, ""tempo"": 75.801, ""type"": ""audio_features"", ""id"": ""2kJwzbxV2ppxnQoYw4GLBZ"", ""uri"": ""spotify:track:2kJwzbxV2ppxnQoYw4GLBZ"", ""track_href"": ""https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2kJwzbxV2ppxnQoYw4GLBZ"", ""duration_ms"": 208687, ""time_signature"": 4}",1663381177.815,1663418928.348996
37,'Happier','Ed Sheeran',2RttW7RAu5nOAfq6YFvApB,207520,80,"{""danceability"": 0.522, ""energy"": 0.385, ""key"": 0, ""loudness"": -7.355, ""mode"": 1, ""speechiness"": 0.0288, ""acousticness"": 0.536, ""instrumentalness"": 0, ""liveness"": 0.135, ""valence"": 0.236, ""tempo"": 89.792, ""type"": ""audio_features"", ""id"": ""2RttW7RAu5nOAfq6YFvApB"", ""uri"": ""spotify:track:2RttW7RAu5nOAfq6YFvApB"", ""track_href"": ""https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB"", ""duration_ms"": 207520, ""time_signature"": 4}",1663381386.638,1663418928.04106
36,'Yellow','Coldplay',3AJwUDP919kvQ9QcozQPxg,266773,89,"{""danceability"": 0.429, ""energy"": 0.661, ""key"": 11, ""loudness"": -7.227, ""mode"": 1, ""speechiness"": 0.0281, ""acousticness"": 0.00239, ""instrumentalness"": 0.000121, ""liveness"": 0.234, ""valence"": 0.285, ""tempo"": 173.372, ""type"": ""audio_features"", ""id"": ""3AJwUDP919kvQ9QcozQPxg"", ""uri"": ""spotify:track:3AJwUDP919kvQ9QcozQPxg"", ""track_href"": ""https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg"", ""duration_ms"": 266773, ""time_signature"": 4}",1663381653.901,1663418927.72871
35,'Just a Song Before I Go',"'Crosby, Stills & Nash'",4dAN7KcWCWx5jV6dpwtfvN,133960,60,"{""danceability"": 0.671, ""energy"": 0.233, ""key"": 11, ""loudness"": -18.003, ""mode"": 0, ""speechiness"": 0.0378, ""acousticness"": 0.875, ""instrumentalness"": 0.00016, ""liveness"": 0.12, ""valence"": 0.486, ""tempo"": 108.065, ""type"": ""audio_features"", ""id"": ""4dAN7KcWCWx5jV6dpwtfvN"", ""uri"": ""spotify:track:4dAN7KcWCWx5jV6dpwtfvN"", ""track_href"": ""https://api.spotify.com/v1/tracks/4dAN7KcWCWx5jV6dpwtfvN"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4dAN7KcWCWx5jV6dpwtfvN"", ""duration_ms"": 133960, ""time_signature"": 4}",1663381788.09,1663418927.425647
34,'Have It All','Jason Mraz',1pIMxRddmCGalHnRbLFkWg,226098,53,"{""danceability"": 0.643, ""energy"": 0.617, ""key"": 1, ""loudness"": -4.95, ""mode"": 0, ""speechiness"": 0.041, ""acousticness"": 0.194, ""instrumentalness"": 0, ""liveness"": 0.0989, ""valence"": 0.592, ""tempo"": 82.029, ""type"": ""audio_features"", ""id"": ""1pIMxRddmCGalHnRbLFkWg"", ""uri"": ""spotify:track:1pIMxRddmCGalHnRbLFkWg"", ""track_href"": ""https://api.spotify.com/v1/tracks/1pIMxRddmCGalHnRbLFkWg"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1pIMxRddmCGalHnRbLFkWg"", ""duration_ms"": 226098, ""time_signature"": 4}",1663382014.217,1663418927.098253
33,'The Bones - with Hozier','Maren Morris',1yTTMcUhL7rtz08Dsgb7Qb,197298,70,"{""danceability"": 0.561, ""energy"": 0.597, ""key"": 11, ""loudness"": -6.0, ""mode"": 0, ""speechiness"": 0.0405, ""acousticness"": 0.286, ""instrumentalness"": 0, ""liveness"": 0.0979, ""valence"": 0.355, ""tempo"": 76.826, ""type"": ""audio_features"", ""id"": ""1yTTMcUhL7rtz08Dsgb7Qb"", ""uri"": ""spotify:track:1yTTMcUhL7rtz08Dsgb7Qb"", ""track_href"": ""https://api.spotify.com/v1/tracks/1yTTMcUhL7rtz08Dsgb7Qb"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1yTTMcUhL7rtz08Dsgb7Qb"", ""duration_ms"": 197299, ""time_signature"": 4}",1663382212.435,1663418926.792
32,'You Are The Reason','Calum Scott',69vToJ9BMbbLlFZo7k7A7B,204326,81,"{""danceability"": 0.329, ""energy"": 0.235, ""key"": 10, ""loudness"": -7.699, ""mode"": 1, ""speechiness"": 0.0303, ""acousticness"": 0.918, ""instrumentalness"": 0, ""liveness"": 0.137, ""valence"": 0.22, ""tempo"": 171.006, ""type"": ""audio_features"", ""id"": ""69vToJ9BMbbLlFZo7k7A7B"", ""uri"": ""spotify:track:69vToJ9BMbbLlFZo7k7A7B"", ""track_href"": ""https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B"", ""duration_ms"": 204326, ""time_signature"": 3}",1663382417.554,1663418926.471284
31,'Let's Fall in Love for the Night','FINNEAS',7kQkmyoHCEqwe7QwDbkSXM,190348,71,"{""danceability"": 0.737, ""energy"": 0.408, ""key"": 5, ""loudness"": -7.941, ""mode"": 1, ""speechiness"": 0.104, ""acousticness"": 0.802, ""instrumentalness"": 0, ""liveness"": 0.171, ""valence"": 0.374, ""tempo"": 127.921, ""type"": ""audio_features"", ""id"": ""7kQkmyoHCEqwe7QwDbkSXM"", ""uri"": ""spotify:track:7kQkmyoHCEqwe7QwDbkSXM"", ""track_href"": ""https://api.spotify.com/v1/tracks/7kQkmyoHCEqwe7QwDbkSXM"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7kQkmyoHCEqwe7QwDbkSXM"", ""duration_ms"": 190348, ""time_signature"": 4}",1663382608.495,1663418926.159382
30,'Be Alright','Dean Lewis',3EPXxR3ImUwfayaurPi3cm,196373,79,"{""danceability"": 0.553, ""energy"": 0.586, ""key"": 11, ""loudness"": -6.319, ""mode"": 1, ""speechiness"": 0.0362, ""acousticness"": 0.697, ""instrumentalness"": 0, ""liveness"": 0.0813, ""valence"": 0.443, ""tempo"": 126.684, ""type"": ""audio_features"", ""id"": ""3EPXxR3ImUwfayaurPi3cm"", ""uri"": ""spotify:track:3EPXxR3ImUwfayaurPi3cm"", ""track_href"": ""https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm"", ""duration_ms"": 196373, ""time_signature"": 4}",1663382805.523,1663418925.847181
29,'Let Me Down Slowly','Alec Benjamin',2qxmye6gAegTMjLKEBoR3d,169353,84,"{""danceability"": 0.652, ""energy"": 0.557, ""key"": 1, ""loudness"": -5.714, ""mode"": 0, ""speechiness"": 0.0318, ""acousticness"": 0.74, ""instrumentalness"": 0, ""liveness"": 0.124, ""valence"": 0.483, ""tempo"": 150.073, ""type"": ""audio_features"", ""id"": ""2qxmye6gAegTMjLKEBoR3d"", ""uri"": ""spotify:track:2qxmye6gAegTMjLKEBoR3d"", ""track_href"": ""https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d"", ""duration_ms"": 169354, ""time_signature"": 4}",1663382974.481,1663418925.541213
28,'Say You Won't Let Go','James Arthur',1Pw5C4N6Fn5E4mGCxmbbVa,211240,68,"{""danceability"": 0.4, ""energy"": 0.564, ""key"": 10, ""loudness"": -7.444, ""mode"": 1, ""speechiness"": 0.0523, ""acousticness"": 0.693, ""instrumentalness"": 0, ""liveness"": 0.0863, ""valence"": 0.483, ""tempo"": 99.269, ""type"": ""audio_features"", ""id"": ""1Pw5C4N6Fn5E4mGCxmbbVa"", ""uri"": ""spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa"", ""track_href"": ""https://api.spotify.com/v1/tracks/1Pw5C4N6Fn5E4mGCxmbbVa"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1Pw5C4N6Fn5E4mGCxmbbVa"", ""duration_ms"": 211240, ""time_signature"": 4}",1663383186.36,1663418925.222945
27,'Photograph','Ed Sheeran',1HNkqx9Ahdgi1Ixy2xkKkL,258986,84,"{""danceability"": 0.614, ""energy"": 0.379, ""key"": 4, ""loudness"": -10.48, ""mode"": 1, ""speechiness"": 0.0476, ""acousticness"": 0.607, ""instrumentalness"": 0.000464, ""liveness"": 0.0986, ""valence"": 0.201, ""tempo"": 107.989, ""type"": ""audio_features"", ""id"": ""1HNkqx9Ahdgi1Ixy2xkKkL"", ""uri"": ""spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL"", ""track_href"": ""https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL"", ""duration_ms"": 258987, ""time_signature"": 4}",1663383446.112,1663418924.91582
26,'Someone You Loved','Lewis Capaldi',7qEHsqek33rTcFNT9PFqLf,182160,87,"{""danceability"": 0.501, ""energy"": 0.405, ""key"": 1, ""loudness"": -5.679, ""mode"": 1, ""speechiness"": 0.0319, ""acousticness"": 0.751, ""instrumentalness"": 0, ""liveness"": 0.105, ""valence"": 0.446, ""tempo"": 109.891, ""type"": ""audio_features"", ""id"": ""7qEHsqek33rTcFNT9PFqLf"", ""uri"": ""spotify:track:7qEHsqek33rTcFNT9PFqLf"", ""track_href"": ""https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf"", ""duration_ms"": 182161, ""time_signature"": 4}",1663383628.279,1663418924.601063
25,'Moral of the Story','Ashe',2FT9WmWskvuRt735aMy0mL,201083,51,"{""danceability"": 0.571, ""energy"": 0.404, ""key"": 0, ""loudness"": -8.592, ""mode"": 0, ""speechiness"": 0.0415, ""acousticness"": 0.594, ""instrumentalness"": 9.12e-06, ""liveness"": 0.104, ""valence"": 0.305, ""tempo"": 119.793, ""type"": ""audio_features"", ""id"": ""2FT9WmWskvuRt735aMy0mL"", ""uri"": ""spotify:track:2FT9WmWskvuRt735aMy0mL"", ""track_href"": ""https://api.spotify.com/v1/tracks/2FT9WmWskvuRt735aMy0mL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2FT9WmWskvuRt735aMy0mL"", ""duration_ms"": 201084, ""time_signature"": 4}",1663383830.224,1663418924.300946
